name,starting_price,winner_bid,timestamp
FINISHER,700.0,950,2020-12-09 13:33:13
FINISHER,800.0,1200,2020-12-09 13:33:13
MARKSMAN,450.0,900,2020-12-09 13:33:13
ARCHITECT,450.0,550,2020-12-09 13:33:13
Al Suwat,450.0,450,2020-12-09 15:47:26
ENGINE,500.0,500,2020-12-09 15:47:26
ENGINE,600.0,600,2020-12-09 15:47:26
ENGINE,600.0,700,2020-12-09 15:47:26
ENGINE,500.0,500,2020-12-09 15:47:26
FINISHER,900.0,1600,2020-12-09 15:47:26
Lenglet,20750.0,21000,2020-12-09 18:12:57
ENGINE,600.0,800,2020-12-09 18:12:57
FINISHER,650.0,1200,2020-12-09 18:12:57
FINISHER,800.0,1000,2020-12-09 18:12:57
Hazard,35750.0,36000,2020-12-09 23:32:09
Wijnaldum,27250.0,27500,2020-12-09 23:32:09
HAWK,450.0,600,2020-12-09 23:32:09
HAWK,450.0,450,2020-12-09 23:32:09
ENGINE,450.0,450,2020-12-09 23:32:09
SHADOW,3300.0,3600,2020-12-09 23:32:09
SNIPER,400.0,400,2020-12-09 23:32:09
HAWK,450.0,450,2020-12-10 01:54:09
ENGINE,550.0,750,2020-12-10 02:14:56
CATALYST,500.0,600,2020-12-10 02:14:56
Di María,24000.0,25000,2020-12-10 08:36:14
HAWK,450.0,650,2020-12-10 08:36:14
HAWK,450.0,700,2020-12-10 08:36:14
HAWK,450.0,450,2020-12-10 08:36:14
ENGINE,450.0,800,2020-12-10 08:36:14
ENGINE,500.0,800,2020-12-10 08:36:14
ENGINE,500.0,750,2020-12-10 08:36:14
ENGINE,500.0,650,2020-12-10 08:36:14
ENGINE,550.0,650,2020-12-10 08:36:14
ENGINE,450.0,650,2020-12-10 10:07:09
ENGINE,600.0,850,2020-12-10 10:07:09
ENGINE,550.0,800,2020-12-10 10:07:09
ENGINE,550.0,800,2020-12-10 10:07:09
CATALYST,400.0,700,2020-12-10 10:07:09
HAWK,450.0,450,2020-12-10 14:59:57
ENGINE,550.0,750,2020-12-10 14:59:57
ENGINE,500.0,700,2020-12-10 14:59:57
ENGINE,500.0,850,2020-12-10 14:59:57
Alderweireld,10000.0,10500,2020-12-10 16:53:30
Lenglet,19500.0,21500,2020-12-10 16:53:30
ENGINE,450.0,700,2020-12-10 16:53:30
CATALYST,450.0,700,2020-12-10 16:53:30
FINISHER,700.0,1200,2020-12-10 16:53:30
ENGINE,500.0,750,2020-12-10 17:15:04
Courtois,42000.0,47000,2020-12-10 20:15:07
ENGINE,600.0,700,2020-12-10 20:15:07
CATALYST,450.0,650,2020-12-10 20:15:07
FINISHER,850.0,1300,2020-12-10 20:15:07
ENGINE,500.0,500,2020-12-11 00:20:45
ENGINE,500.0,500,2020-12-11 00:20:45
ENGINE,450.0,450,2020-12-11 00:20:45
ENGINE,450.0,600,2020-12-11 00:20:45
ENGINE,550.0,850,2020-12-11 00:20:45
ENGINE,600.0,1000,2020-12-11 00:20:45
CATALYST,450.0,450,2020-12-11 00:20:45
CATALYST,450.0,450,2020-12-11 00:20:45
CATALYST,500.0,850,2020-12-11 00:20:45
CATALYST,400.0,800,2020-12-11 00:20:45
SNIPER,400.0,600,2020-12-11 00:20:45
FINISHER,800.0,800,2020-12-11 00:20:45
FINISHER,900.0,1100,2020-12-11 00:20:45
MARKSMAN,500.0,850,2020-12-11 00:20:45
ENGINE,550.0,800,2020-12-11 02:12:01
ENGINE,500.0,500,2020-12-11 02:12:01
CATALYST,450.0,450,2020-12-11 02:12:01
CATALYST,450.0,450,2020-12-11 02:12:01
López,350.0,350,2020-12-11 14:00:20
ENGINE,550.0,650,2020-12-11 14:00:20
ENGINE,500.0,800,2020-12-11 14:00:20
FINISHER,650.0,1000,2020-12-11 14:00:20
FINISHER,700.0,1300,2020-12-11 14:00:20
HAWK,500.0,800,2020-12-11 20:42:54
HAWK,500.0,750,2020-12-11 20:42:54
HAWK,450.0,700,2020-12-11 20:42:54
ENGINE,500.0,800,2020-12-11 20:42:54
ENGINE,500.0,500,2020-12-11 20:42:54
ENGINE,500.0,800,2020-12-11 20:42:54
ENGINE,600.0,800,2020-12-11 20:42:54
